,Name,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split_Ratio,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
0,ADSK,2002-12-16,14.51,15.22,14.35,15.11,1807900.0,0.0,1.0,7.169016164609948,7.519808823250408,7.0899642978740705,7.465460664869491,3615800.0
1,ADSK,2002-12-17,15.2,15.46,15.09,15.09,1780400.0,0.0,1.0,7.5099273399084225,7.638386623354226,7.455579181527507,7.455579181527507,3560800.0
2,ADSK,2002-12-18,15.1,15.15,14.81,14.81,1568600.0,0.0,1.0,7.460519923198499,7.4852236315534615,7.3172384147397205,7.3172384147397205,3137200.0
3,ADSK,2002-12-19,14.75,14.98,14.66,14.87,1061900.0,0.0,1.0,7.287593964713766,7.4012310231465905,7.243127289674835,7.346882864765674,2123800.0
4,ADSK,2002-12-20,14.86,14.95,14.52,14.85,1903000.0,0.0,1.0,7.3419421230946815,7.386408798133613,7.1739569062809405,7.337001381423689,3806000.0
5,ADSK,2002-12-23,14.79,14.84,14.45,14.74,1475000.0,0.0,1.0,7.3073569313977345,7.332060639752697,7.1393717145839934,7.282653223042773,2950000.0
6,ADSK,2002-12-24,14.7,14.72,14.25,14.36,695500.0,0.0,1.0,7.262890256358803,7.272771739700789,7.040556881164147,7.094905039545062,1391000.0
7,ADSK,2002-12-26,14.35,14.71,14.25,14.3,437300.0,0.0,1.0,7.0899642978740705,7.267830998029797,7.040556881164147,7.0652605895191085,874600.0
8,ADSK,2002-12-27,14.25,14.45,14.12,14.13,319100.0,0.0,1.0,7.040556881164147,7.1393717145839934,6.976327239441245,6.9812679811122385,638200.0
9,ADSK,2002-12-30,14.13,14.26,13.74,14.13,701700.0,0.0,1.0,6.9812679811122385,7.045497622835139,6.788579055943535,6.9812679811122385,1403400.0
10,ADSK,2002-12-31,14.22,14.44,14.02,14.3,656500.0,0.03,1.0,7.040473959625613,7.149398310618413,6.941451822359429,7.080082814532086,1313000.0
11,ADSK,2003-01-02,14.36,14.68,14.18,14.6,939600.0,0.0,1.0,7.10978945571194,7.268224875337833,7.020669532172376,7.22861602043136,1879200.0
12,ADSK,2003-01-03,14.52,14.63,14.0,14.19,1448700.0,0.0,1.0,7.189007165524887,7.243469341021288,6.931549608632811,7.025620639035685,2897400.0
13,ADSK,2003-01-06,14.11,14.71,13.89,14.6,1392600.0,0.0,1.0,6.986011784129212,7.283078195927762,6.877087433136411,7.22861602043136,2785200.0
14,ADSK,2003-01-07,14.51,15.26,14.4,15.23,1474200.0,0.0,1.0,7.184056058661578,7.555389073409764,7.129593883165177,7.540535752819837,2948400.0
15,ADSK,2003-01-08,15.15,15.2,14.93,15.07,1096900.0,0.0,1.0,7.500926897913364,7.525682432229909,7.392002546920562,7.461318043006891,2193800.0
16,ADSK,2003-01-09,15.1,15.4,14.97,15.28,1190200.0,0.0,1.0,7.476171363596817,7.624704569496092,7.411806974373799,7.565291287136382,2380400.0
