,Name,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split_Ratio,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
0,BHF,2017-08-08,61.06,61.5,56.59,56.77,4069161.0,0.0,1.0,61.06,61.5,56.59,56.77,4069161.0
1,BHF,2017-08-09,56.01,57.12,54.94,56.72,4509102.0,0.0,1.0,56.01,57.12,54.94,56.72,4509102.0
2,BHF,2017-08-10,56.55,59.49,55.9999,58.5,3174395.0,0.0,1.0,56.55,59.49,55.9999,58.5,3174395.0
3,BHF,2017-08-11,58.1,58.4842,57.04,57.97,1750028.0,0.0,1.0,58.1,58.4842,57.04,57.97,1750028.0
4,BHF,2017-08-14,57.42,58.53,57.0,57.36,2381546.0,0.0,1.0,57.42,58.53,57.0,57.36,2381546.0
5,BHF,2017-08-15,57.48,59.0,57.11,58.01,1810064.0,0.0,1.0,57.48,59.0,57.11,58.01,1810064.0
6,BHF,2017-08-16,57.51,58.72,56.97,57.5,2883407.0,0.0,1.0,57.51,58.72,56.97,57.5,2883407.0
7,BHF,2017-08-17,57.05,57.58,55.16,55.97,1869976.0,0.0,1.0,57.05,57.58,55.16,55.97,1869976.0
8,BHF,2017-08-18,55.69,57.92,55.18,57.45,2621539.0,0.0,1.0,55.69,57.92,55.18,57.45,2621539.0
9,BHF,2017-08-21,57.0,57.94,56.62,56.86,1443650.0,0.0,1.0,57.0,57.94,56.62,56.86,1443650.0
10,BHF,2017-08-22,56.92,57.8,56.57,57.21,1196937.0,0.0,1.0,56.92,57.8,56.57,57.21,1196937.0
11,BHF,2017-08-23,56.76,57.29,56.24,56.65,1240636.0,0.0,1.0,56.76,57.29,56.24,56.65,1240636.0
12,BHF,2017-08-24,56.39,56.64,55.11,55.34,1080727.0,0.0,1.0,56.39,56.64,55.11,55.34,1080727.0
13,BHF,2017-08-25,55.53,56.63,54.9,55.54,952647.0,0.0,1.0,55.53,56.63,54.9,55.54,952647.0
14,BHF,2017-08-28,55.78,55.975,55.16,55.34,666214.0,0.0,1.0,55.78,55.975,55.16,55.34,666214.0
15,BHF,2017-08-29,55.25,55.87,54.7701,55.76,1182044.0,0.0,1.0,55.25,55.87,54.7701,55.76,1182044.0
16,BHF,2017-08-30,55.48,57.47,55.35,57.1,1125546.0,0.0,1.0,55.48,57.47,55.35,57.1,1125546.0
17,BHF,2017-08-31,57.06,57.4,56.21,57.07,1663785.0,0.0,1.0,57.06,57.4,56.21,57.07,1663785.0
18,BHF,2017-09-01,56.9,57.98,56.36,57.49,942417.0,0.0,1.0,56.9,57.98,56.36,57.49,942417.0
19,BHF,2017-09-05,57.19,57.19,53.69,54.08,2814373.0,0.0,1.0,57.19,57.19,53.69,54.08,2814373.0
20,BHF,2017-09-06,54.33,54.59,52.94,53.18,1727018.0,0.0,1.0,54.33,54.59,52.94,53.18,1727018.0
21,BHF,2017-09-07,53.36,53.68,52.751,53.0,1306071.0,0.0,1.0,53.36,53.68,52.751,53.0,1306071.0
22,BHF,2017-09-08,53.0,54.592,52.95,54.54,1033300.0,0.0,1.0,53.0,54.592,52.95,54.54,1033300.0
23,BHF,2017-09-11,55.08,56.0,54.83,55.11,1116616.0,0.0,1.0,55.08,56.0,54.83,55.11,1116616.0
24,BHF,2017-09-12,55.11,55.98,54.53,55.19,1301000.0,0.0,1.0,55.11,55.98,54.53,55.19,1301000.0
25,BHF,2017-09-13,54.91,55.4,54.77,55.35,809834.0,0.0,1.0,54.91,55.4,54.77,55.35,809834.0
26,BHF,2017-09-14,55.12,55.69,54.95,55.62,1078580.0,0.0,1.0,55.12,55.69,54.95,55.62,1078580.0
27,BHF,2017-09-15,55.5,56.59,55.24,56.56,1458641.0,0.0,1.0,55.5,56.59,55.24,56.56,1458641.0
28,BHF,2017-09-18,56.75,57.4,56.4063,57.21,1048364.0,0.0,1.0,56.75,57.4,56.4063,57.21,1048364.0
29,BHF,2017-09-19,57.09,57.31,56.77,56.93,944207.0,0.0,1.0,57.09,57.31,56.77,56.93,944207.0
30,BHF,2017-09-20,56.55,57.54,56.5,57.49,675445.0,0.0,1.0,56.55,57.54,56.5,57.49,675445.0
31,BHF,2017-09-21,57.28,58.0635,57.15,57.68,617726.0,0.0,1.0,57.28,58.0635,57.15,57.68,617726.0
32,BHF,2017-09-22,57.06,58.55,56.81,58.35,861864.0,0.0,1.0,57.06,58.55,56.81,58.35,861864.0
