,Name,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split_Ratio,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
0,ETFC,2002-12-16,4.95,5.12,4.85,5.0,2559000.0,0.0,1.0,49.5,51.2,48.5,50.0,255900.0
1,ETFC,2002-12-17,5.02,5.21,5.0,5.18,4285000.0,0.0,1.0,50.199999999999996,52.1,50.0,51.8,428500.0
2,ETFC,2002-12-18,5.0,5.1,4.95,5.05,3518000.0,0.0,1.0,50.0,51.0,49.5,50.5,351800.0
3,ETFC,2002-12-19,5.05,5.15,4.98,5.05,2516000.0,0.0,1.0,50.5,51.5,49.800000000000004,50.5,251600.0
4,ETFC,2002-12-20,5.05,5.1,4.97,5.0,1989000.0,0.0,1.0,50.5,51.0,49.699999999999996,50.0,198900.0
5,ETFC,2002-12-23,4.96,5.09,4.92,4.98,1413000.0,0.0,1.0,49.6,50.9,49.2,49.800000000000004,141300.0
6,ETFC,2002-12-24,4.99,5.02,4.9,4.9,477000.0,0.0,1.0,49.900000000000006,50.199999999999996,49.0,49.0,47700.0
7,ETFC,2002-12-26,4.9,5.04,4.8,4.85,1022000.0,0.0,1.0,49.0,50.4,48.0,48.5,102200.0
8,ETFC,2002-12-27,4.65,4.83,4.6,4.6,2303000.0,0.0,1.0,46.5,48.3,46.0,46.0,230300.0
9,ETFC,2002-12-30,4.55,4.72,4.55,4.69,2536000.0,0.0,1.0,45.5,47.199999999999996,45.5,46.900000000000006,253600.0
10,ETFC,2002-12-31,4.59,4.9,4.55,4.86,1860000.0,0.0,1.0,45.9,49.0,45.5,48.6,186000.0
11,ETFC,2003-01-02,4.96,5.12,4.88,5.1,1915000.0,0.0,1.0,49.6,51.2,48.8,51.0,191500.0
12,ETFC,2003-01-03,5.08,5.13,5.02,5.02,1779000.0,0.0,1.0,50.8,51.3,50.199999999999996,50.199999999999996,177900.0
13,ETFC,2003-01-06,5.08,5.2,5.06,5.14,3737000.0,0.0,1.0,50.8,52.0,50.599999999999994,51.4,373700.0
14,ETFC,2003-01-07,5.17,5.25,5.1,5.15,2825000.0,0.0,1.0,51.7,52.5,51.0,51.5,282500.0
15,ETFC,2003-01-08,5.1,5.15,5.02,5.02,2667000.0,0.0,1.0,51.0,51.5,50.199999999999996,50.199999999999996,266700.0
16,ETFC,2003-01-09,5.07,5.19,5.05,5.15,2221000.0,0.0,1.0,50.7,51.900000000000006,50.5,51.5,222100.0
17,ETFC,2003-01-10,5.07,5.22,5.03,5.19,4460000.0,0.0,1.0,50.7,52.199999999999996,50.300000000000004,51.900000000000006,446000.0
18,ETFC,2003-01-13,5.25,5.37,5.18,5.28,1985000.0,0.0,1.0,52.5,53.7,51.8,52.800000000000004,198500.0
19,ETFC,2003-01-14,5.28,5.55,5.28,5.54,4821000.0,0.0,1.0,52.800000000000004,55.5,52.800000000000004,55.4,482100.0
20,ETFC,2003-01-15,5.53,5.58,5.38,5.51,2764000.0,0.0,1.0,55.300000000000004,55.8,53.8,55.099999999999994,276400.0
21,ETFC,2003-01-16,5.51,5.56,5.29,5.35,2712000.0,0.0,1.0,55.099999999999994,55.599999999999994,52.9,53.5,271200.0
22,ETFC,2003-01-17,5.25,5.28,5.03,5.1,3305000.0,0.0,1.0,52.5,52.800000000000004,50.300000000000004,51.0,330500.0
23,ETFC,2003-01-21,5.05,5.14,4.8,4.82,3885000.0,0.0,1.0,50.5,51.4,48.0,48.2,388500.0
24,ETFC,2003-01-22,4.52,4.58,4.16,4.46,9614000.0,0.0,1.0,45.199999999999996,45.8,41.6,44.6,961400.0
25,ETFC,2003-01-23,4.55,4.66,4.41,4.49,3199000.0,0.0,1.0,45.5,46.6,44.1,44.900000000000006,319900.0
26,ETFC,2003-01-24,4.48,4.66,4.28,4.49,5682000.0,0.0,1.0,44.800000000000004,46.6,42.800000000000004,44.900000000000006,568200.0
27,ETFC,2003-01-27,4.4,4.6,4.29,4.33,3559000.0,0.0,1.0,44.0,46.0,42.9,43.3,355900.0
28,ETFC,2003-01-28,4.35,4.55,4.34,4.52,3236000.0,0.0,1.0,43.5,45.5,43.4,45.199999999999996,323600.0
29,ETFC,2003-01-29,4.45,4.62,4.36,4.59,2362000.0,0.0,1.0,44.5,46.2,43.6,45.9,236200.0
30,ETFC,2003-01-30,4.58,4.62,4.32,4.32,2290000.0,0.0,1.0,45.8,46.2,43.2,43.2,229000.0
31,ETFC,2003-01-31,4.33,4.54,4.33,4.5,2670000.0,0.0,1.0,43.3,45.4,43.3,45.0,267000.0
