,Name,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split_Ratio,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
0,IDXX,2002-12-16,32.61,33.22,32.28,32.59,238700.0,0.0,1.0,8.1525,8.305,8.07,8.1475,954800.0
1,IDXX,2002-12-17,32.26,32.75,32.09,32.15,176600.0,0.0,1.0,8.065,8.1875,8.0225,8.0375,706400.0
2,IDXX,2002-12-18,32.2,32.65,31.75,31.76,209600.0,0.0,1.0,8.05,8.1625,7.9375,7.94,838400.0
3,IDXX,2002-12-19,31.75,32.48,31.59,31.85,314800.0,0.0,1.0,7.9375,8.12,7.8975,7.9625,1259200.0
4,IDXX,2002-12-20,32.0,33.21,32.0,33.13,644500.0,0.0,1.0,8.0,8.3025,8.0,8.2825,2578000.0
5,IDXX,2002-12-23,32.8,33.3,32.57,33.21,216000.0,0.0,1.0,8.2,8.325,8.1425,8.3025,864000.0
6,IDXX,2002-12-24,32.84,33.23,32.75,32.99,53700.0,0.0,1.0,8.21,8.3075,8.1875,8.2475,214800.0
7,IDXX,2002-12-26,32.9,33.48,32.64,33.09,208500.0,0.0,1.0,8.225,8.37,8.16,8.2725,834000.0
8,IDXX,2002-12-27,33.0,33.0,32.45,32.72,151600.0,0.0,1.0,8.25,8.25,8.1125,8.18,606400.0
9,IDXX,2002-12-30,32.4,32.87,32.35,32.75,143200.0,0.0,1.0,8.1,8.2175,8.0875,8.1875,572800.0
10,IDXX,2002-12-31,32.8,33.48,32.16,33.3,336400.0,0.0,1.0,8.2,8.37,8.04,8.325,1345600.0
11,IDXX,2003-01-02,33.14,33.7,32.76,33.45,344200.0,0.0,1.0,8.285,8.425,8.19,8.3625,1376800.0
12,IDXX,2003-01-03,33.44,33.54,32.93,32.98,188100.0,0.0,1.0,8.36,8.385,8.2325,8.245,752400.0
13,IDXX,2003-01-06,32.81,33.4,32.56,32.78,124500.0,0.0,1.0,8.2025,8.35,8.14,8.195,498000.0
14,IDXX,2003-01-07,32.5,32.9,31.64,32.06,384200.0,0.0,1.0,8.125,8.225,7.91,8.015,1536800.0
15,IDXX,2003-01-08,31.87,32.5,31.8,32.16,179400.0,0.0,1.0,7.9675,8.125,7.95,8.04,717600.0
16,IDXX,2003-01-09,31.36,33.76,31.31,33.15,263800.0,0.0,1.0,7.84,8.44,7.8275,8.2875,1055200.0
17,IDXX,2003-01-10,33.21,33.48,32.34,33.09,163700.0,0.0,1.0,8.3025,8.37,8.085,8.2725,654800.0
18,IDXX,2003-01-13,32.95,33.5,32.4,32.93,118600.0,0.0,1.0,8.2375,8.375,8.1,8.2325,474400.0
