,Name,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split_Ratio,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
0,NFX,2002-12-16,38.55,39.07,38.25,38.5,547600.0,0.0,1.0,19.275,19.535,19.125,19.25,1095200.0
1,NFX,2002-12-17,38.49,38.59,37.97,37.97,253700.0,0.0,1.0,19.245,19.295,18.985,18.985,507400.0
2,NFX,2002-12-18,37.97,37.97,37.01,37.14,411800.0,0.0,1.0,18.985,18.985,18.505,18.57,823600.0
3,NFX,2002-12-19,36.3,36.74,36.25,36.49,1786600.0,0.0,1.0,18.15,18.37,18.125,18.245,3573200.0
4,NFX,2002-12-20,36.51,36.85,36.24,36.26,1609400.0,0.0,1.0,18.255,18.425,18.12,18.13,3218800.0
5,NFX,2002-12-23,36.3,36.65,36.25,36.61,405000.0,0.0,1.0,18.15,18.325,18.125,18.305,810000.0
6,NFX,2002-12-24,36.55,36.68,36.45,36.54,151000.0,0.0,1.0,18.275,18.34,18.225,18.27,302000.0
7,NFX,2002-12-26,36.74,36.74,36.4,36.47,274900.0,0.0,1.0,18.37,18.37,18.2,18.235,549800.0
8,NFX,2002-12-27,36.48,36.55,35.64,35.74,306600.0,0.0,1.0,18.24,18.275,17.82,17.87,613200.0
9,NFX,2002-12-30,35.74,36.26,35.54,35.98,467800.0,0.0,1.0,17.87,18.13,17.77,17.99,935600.0
10,NFX,2002-12-31,35.89,36.05,35.2,36.05,291100.0,0.0,1.0,17.945,18.025,17.6,18.025,582200.0
11,NFX,2003-01-02,36.12,36.9,36.12,36.55,922700.0,0.0,1.0,18.06,18.45,18.06,18.275,1845400.0
12,NFX,2003-01-03,36.7,36.86,35.8,35.92,551700.0,0.0,1.0,18.35,18.43,17.9,17.96,1103400.0
13,NFX,2003-01-06,35.92,36.0,35.48,35.5,596600.0,0.0,1.0,17.96,18.0,17.74,17.75,1193200.0
14,NFX,2003-01-07,35.5,35.5,33.74,33.96,731700.0,0.0,1.0,17.75,17.75,16.87,16.98,1463400.0
15,NFX,2003-01-08,33.96,34.38,33.5,33.67,510000.0,0.0,1.0,16.98,17.19,16.75,16.835,1020000.0
16,NFX,2003-01-09,33.76,33.94,33.3,33.6,752100.0,0.0,1.0,16.88,16.97,16.65,16.8,1504200.0
17,NFX,2003-01-10,33.6,33.69,32.97,33.09,358800.0,0.0,1.0,16.8,16.845,16.485,16.545,717600.0
18,NFX,2003-01-13,33.2,33.41,32.66,33.24,367000.0,0.0,1.0,16.6,16.705,16.33,16.62,734000.0
19,NFX,2003-01-14,33.5,33.53,32.6,32.6,479800.0,0.0,1.0,16.75,16.765,16.3,16.3,959600.0
20,NFX,2003-01-15,32.75,33.92,32.7,33.89,564500.0,0.0,1.0,16.375,16.96,16.35,16.945,1129000.0
21,NFX,2003-01-16,33.91,35.0,33.91,34.3,378000.0,0.0,1.0,16.955,17.5,16.955,17.15,756000.0
22,NFX,2003-01-17,34.3,34.45,34.0,34.32,225300.0,0.0,1.0,17.15,17.225,17.0,17.16,450600.0
23,NFX,2003-01-21,34.2,34.23,33.25,33.66,361000.0,0.0,1.0,17.1,17.115,16.625,16.83,722000.0
24,NFX,2003-01-22,33.66,33.77,32.89,33.24,391600.0,0.0,1.0,16.83,16.885,16.445,16.62,783200.0
25,NFX,2003-01-23,33.49,33.49,32.86,33.13,801200.0,0.0,1.0,16.745,16.745,16.43,16.565,1602400.0
26,NFX,2003-01-24,32.88,33.14,31.62,32.4,776800.0,0.0,1.0,16.44,16.57,15.81,16.2,1553600.0
27,NFX,2003-01-27,32.4,32.4,31.62,31.63,576400.0,0.0,1.0,16.2,16.2,15.81,15.815,1152800.0
28,NFX,2003-01-28,31.64,32.07,31.56,31.9,530500.0,0.0,1.0,15.82,16.035,15.78,15.95,1061000.0
29,NFX,2003-01-29,31.64,32.07,31.56,31.9,279400.0,0.0,1.0,15.82,16.035,15.78,15.95,558800.0
30,NFX,2003-01-30,32.75,32.99,32.49,32.6,357400.0,0.0,1.0,16.375,16.495,16.245,16.3,714800.0
31,NFX,2003-01-31,32.53,33.1,32.4,33.07,351600.0,0.0,1.0,16.265,16.55,16.2,16.535,703200.0
32,NFX,2003-02-03,33.1,33.25,32.67,33.02,343400.0,0.0,1.0,16.55,16.625,16.335,16.51,686800.0
33,NFX,2003-02-04,33.01,34.0,32.79,33.86,687400.0,0.0,1.0,16.505,17.0,16.395,16.93,1374800.0
34,NFX,2003-02-05,33.87,34.3,33.58,33.58,542300.0,0.0,1.0,16.935,17.15,16.79,16.79,1084600.0
35,NFX,2003-02-06,33.6,33.76,33.35,33.61,258300.0,0.0,1.0,16.8,16.88,16.675,16.805,516600.0
36,NFX,2003-02-07,33.8,34.04,33.33,33.5,269600.0,0.0,1.0,16.9,17.02,16.665,16.75,539200.0
37,NFX,2003-02-10,33.5,33.77,33.45,33.65,292800.0,0.0,1.0,16.75,16.885,16.725,16.825,585600.0
38,NFX,2003-02-11,33.9,34.03,33.35,33.55,774600.0,0.0,1.0,16.95,17.015,16.675,16.775,1549200.0
39,NFX,2003-02-12,33.55,33.79,32.61,32.68,351900.0,0.0,1.0,16.775,16.895,16.305,16.34,703800.0
40,NFX,2003-02-13,32.9,33.21,32.51,32.8,519400.0,0.0,1.0,16.45,16.605,16.255,16.4,1038800.0
41,NFX,2003-02-14,32.85,32.85,32.1,32.31,549500.0,0.0,1.0,16.425,16.425,16.05,16.155,1099000.0
42,NFX,2003-02-18,32.45,32.83,32.05,32.83,581700.0,0.0,1.0,16.225,16.415,16.025,16.415,1163400.0
43,NFX,2003-02-19,33.05,34.0,33.05,33.59,1047000.0,0.0,1.0,16.525,17.0,16.525,16.795,2094000.0
44,NFX,2003-02-20,33.68,34.07,33.31,33.57,437200.0,0.0,1.0,16.84,17.035,16.655,16.785,874400.0
45,NFX,2003-02-21,33.6,34.65,33.6,34.56,578900.0,0.0,1.0,16.8,17.325,16.8,17.28,1157800.0
46,NFX,2003-02-24,34.6,35.18,34.5,34.75,2007400.0,0.0,1.0,17.3,17.59,17.25,17.375,4014800.0
47,NFX,2003-02-25,34.74,34.98,33.84,34.22,649400.0,0.0,1.0,17.37,17.49,16.92,17.11,1298800.0
48,NFX,2003-02-26,34.23,34.43,33.88,34.33,520000.0,0.0,1.0,17.115,17.215,16.94,17.165,1040000.0
49,NFX,2003-02-27,34.5,34.6,33.61,33.79,458700.0,0.0,1.0,17.25,17.3,16.805,16.895,917400.0
50,NFX,2003-02-28,33.79,34.29,33.77,34.1,303200.0,0.0,1.0,16.895,17.145,16.885,17.05,606400.0
51,NFX,2003-03-03,34.1,34.26,33.71,33.71,244200.0,0.0,1.0,17.05,17.13,16.855,16.855,488400.0
52,NFX,2003-03-04,33.55,34.25,33.55,34.12,489700.0,0.0,1.0,16.775,17.125,16.775,17.06,979400.0
53,NFX,2003-03-05,34.37,34.72,34.04,34.43,594000.0,0.0,1.0,17.185,17.36,17.02,17.215,1188000.0
54,NFX,2003-03-06,34.33,34.33,33.79,34.18,950500.0,0.0,1.0,17.165,17.165,16.895,17.09,1901000.0
55,NFX,2003-03-07,34.0,34.06,33.76,33.89,275800.0,0.0,1.0,17.0,17.03,16.88,16.945,551600.0
56,NFX,2003-03-10,33.89,34.34,33.83,34.03,285900.0,0.0,1.0,16.945,17.17,16.915,17.015,571800.0
57,NFX,2003-03-11,34.2,34.22,33.58,33.8,195200.0,0.0,1.0,17.1,17.11,16.79,16.9,390400.0
58,NFX,2003-03-12,33.68,33.71,32.82,32.82,319500.0,0.0,1.0,16.84,16.855,16.41,16.41,639000.0
59,NFX,2003-03-13,33.4,33.4,32.01,32.5,473000.0,0.0,1.0,16.7,16.7,16.005,16.25,946000.0
60,NFX,2003-03-14,32.5,32.59,31.87,32.1,526500.0,0.0,1.0,16.25,16.295,15.935,16.05,1053000.0
61,NFX,2003-03-17,32.25,32.8,31.7,31.99,400600.0,0.0,1.0,16.125,16.4,15.85,15.995,801200.0
62,NFX,2003-03-18,31.98,32.72,31.35,32.69,513300.0,0.0,1.0,15.99,16.36,15.675,16.345,1026600.0
63,NFX,2003-03-19,32.77,33.01,32.32,32.86,325700.0,0.0,1.0,16.385,16.505,16.16,16.43,651400.0
64,NFX,2003-03-20,32.87,33.7,32.71,33.38,451500.0,0.0,1.0,16.435,16.85,16.355,16.69,903000.0
65,NFX,2003-03-21,33.63,33.65,32.7,33.13,440400.0,0.0,1.0,16.815,16.825,16.35,16.565,880800.0
66,NFX,2003-03-24,32.9,33.1,32.15,32.41,320400.0,0.0,1.0,16.45,16.55,16.075,16.205,640800.0
67,NFX,2003-03-25,32.41,32.98,32.41,32.81,430300.0,0.0,1.0,16.205,16.49,16.205,16.405,860600.0
68,NFX,2003-03-26,32.81,33.14,32.54,32.62,263000.0,0.0,1.0,16.405,16.57,16.27,16.31,526000.0
69,NFX,2003-03-27,32.62,33.71,32.62,33.64,357800.0,0.0,1.0,16.31,16.855,16.31,16.82,715600.0
70,NFX,2003-03-28,33.54,34.1,33.54,33.89,328100.0,0.0,1.0,16.77,17.05,16.77,16.945,656200.0
71,NFX,2003-03-31,33.91,34.0,33.43,33.89,218000.0,0.0,1.0,16.955,17.0,16.715,16.945,436000.0
72,NFX,2003-04-01,33.85,34.29,33.39,34.26,235300.0,0.0,1.0,16.925,17.145,16.695,17.13,470600.0
73,NFX,2003-04-02,34.3,34.3,33.42,34.04,266600.0,0.0,1.0,17.15,17.15,16.71,17.02,533200.0
74,NFX,2003-04-03,34.09,34.23,32.99,33.0,296200.0,0.0,1.0,17.045,17.115,16.495,16.5,592400.0
75,NFX,2003-04-04,33.1,33.45,33.0,33.28,233000.0,0.0,1.0,16.55,16.725,16.5,16.64,466000.0
76,NFX,2003-04-07,33.4,33.5,33.0,33.0,130500.0,0.0,1.0,16.7,16.75,16.5,16.5,261000.0
77,NFX,2003-04-08,33.25,33.25,32.85,32.98,183400.0,0.0,1.0,16.625,16.625,16.425,16.49,366800.0
78,NFX,2003-04-09,33.03,33.1,32.68,33.02,190000.0,0.0,1.0,16.515,16.55,16.34,16.51,380000.0
79,NFX,2003-04-10,33.11,33.69,32.95,33.53,268600.0,0.0,1.0,16.555,16.845,16.475,16.765,537200.0
80,NFX,2003-04-11,33.5,33.5,33.07,33.1,246400.0,0.0,1.0,16.75,16.75,16.535,16.55,492800.0
81,NFX,2003-04-14,33.11,33.33,33.02,33.24,105700.0,0.0,1.0,16.555,16.665,16.51,16.62,211400.0
82,NFX,2003-04-15,33.2,33.22,32.93,33.18,236100.0,0.0,1.0,16.6,16.61,16.465,16.59,472200.0
83,NFX,2003-04-16,33.18,33.26,32.6,32.64,307200.0,0.0,1.0,16.59,16.63,16.3,16.32,614400.0
84,NFX,2003-04-17,32.64,33.14,32.49,33.04,804300.0,0.0,1.0,16.32,16.57,16.245,16.52,1608600.0
85,NFX,2003-04-21,33.04,33.14,32.78,33.08,412900.0,0.0,1.0,16.52,16.57,16.39,16.54,825800.0
86,NFX,2003-04-22,33.09,33.99,32.91,33.99,312900.0,0.0,1.0,16.545,16.995,16.455,16.995,625800.0
87,NFX,2003-04-23,34.09,34.28,33.76,33.9,267500.0,0.0,1.0,17.045,17.14,16.88,16.95,535000.0
88,NFX,2003-04-24,34.05,34.42,33.96,34.0,498000.0,0.0,1.0,17.025,17.21,16.98,17.0,996000.0
89,NFX,2003-04-25,34.0,34.36,33.65,34.09,535600.0,0.0,1.0,17.0,17.18,16.825,17.045,1071200.0
90,NFX,2003-04-28,34.27,34.47,34.14,34.25,322400.0,0.0,1.0,17.135,17.235,17.07,17.125,644800.0
91,NFX,2003-04-29,34.25,34.49,33.77,33.97,545300.0,0.0,1.0,17.125,17.245,16.885,16.985,1090600.0
92,NFX,2003-04-30,33.95,34.53,33.95,34.39,657700.0,0.0,1.0,16.975,17.265,16.975,17.195,1315400.0
93,NFX,2003-05-01,36.0,36.12,35.24,36.0,1195700.0,0.0,1.0,18.0,18.06,17.62,18.0,2391400.0
94,NFX,2003-05-02,36.01,36.6,36.0,36.15,341500.0,0.0,1.0,18.005,18.3,18.0,18.075,683000.0
95,NFX,2003-05-05,35.91,36.16,35.74,36.09,233000.0,0.0,1.0,17.955,18.08,17.87,18.045,466000.0
96,NFX,2003-05-06,36.26,36.4,35.9,36.14,248500.0,0.0,1.0,18.13,18.2,17.95,18.07,497000.0
97,NFX,2003-05-07,36.14,36.63,35.96,36.46,309400.0,0.0,1.0,18.07,18.315,17.98,18.23,618800.0
98,NFX,2003-05-08,36.47,36.65,36.19,36.65,324200.0,0.0,1.0,18.235,18.325,18.095,18.325,648400.0
99,NFX,2003-05-09,36.65,36.91,36.3,36.77,376800.0,0.0,1.0,18.325,18.455,18.15,18.385,753600.0
100,NFX,2003-05-12,36.57,37.2,36.43,36.8,283200.0,0.0,1.0,18.285,18.6,18.215,18.4,566400.0
101,NFX,2003-05-13,36.81,37.4,36.54,37.25,316400.0,0.0,1.0,18.405,18.7,18.27,18.625,632800.0
102,NFX,2003-05-14,37.3,37.35,36.6,37.3,383500.0,0.0,1.0,18.65,18.675,18.3,18.65,767000.0
103,NFX,2003-05-15,37.35,37.82,37.25,37.75,333400.0,0.0,1.0,18.675,18.91,18.625,18.875,666800.0
104,NFX,2003-05-16,37.75,37.91,37.35,37.91,319800.0,0.0,1.0,18.875,18.955,18.675,18.955,639600.0
105,NFX,2003-05-19,37.91,37.91,37.15,37.15,194400.0,0.0,1.0,18.955,18.955,18.575,18.575,388800.0
106,NFX,2003-05-20,37.3,37.3,36.14,36.47,421300.0,0.0,1.0,18.65,18.65,18.07,18.235,842600.0
107,NFX,2003-05-21,36.22,38.5,36.22,38.5,854500.0,0.0,1.0,18.11,19.25,18.11,19.25,1709000.0
108,NFX,2003-05-22,37.3,37.83,37.3,37.51,1779400.0,0.0,1.0,18.65,18.915,18.65,18.755,3558800.0
109,NFX,2003-05-23,37.65,37.94,37.35,37.88,452700.0,0.0,1.0,18.825,18.97,18.675,18.94,905400.0
110,NFX,2003-05-27,37.88,38.15,37.74,38.03,469700.0,0.0,1.0,18.94,19.075,18.87,19.015,939400.0
111,NFX,2003-05-28,37.76,37.93,37.35,37.49,462000.0,0.0,1.0,18.88,18.965,18.675,18.745,924000.0
112,NFX,2003-05-29,37.4,37.45,36.64,36.8,743800.0,0.0,1.0,18.7,18.725,18.32,18.4,1487600.0
113,NFX,2003-05-30,36.8,37.46,36.8,37.46,887800.0,0.0,1.0,18.4,18.73,18.4,18.73,1775600.0
114,NFX,2003-06-02,37.54,37.95,37.44,37.86,443400.0,0.0,1.0,18.77,18.975,18.72,18.93,886800.0
115,NFX,2003-06-03,37.72,37.94,37.38,37.91,405600.0,0.0,1.0,18.86,18.97,18.69,18.955,811200.0
116,NFX,2003-06-04,37.99,38.7,37.99,38.64,699000.0,0.0,1.0,18.995,19.35,18.995,19.32,1398000.0
117,NFX,2003-06-05,38.41,38.45,37.85,38.2,683000.0,0.0,1.0,19.205,19.225,18.925,19.1,1366000.0
118,NFX,2003-06-06,38.2,38.39,37.74,37.74,583100.0,0.0,1.0,19.1,19.195,18.87,18.87,1166200.0
119,NFX,2003-06-09,37.76,38.02,37.53,37.82,345800.0,0.0,1.0,18.88,19.01,18.765,18.91,691600.0
120,NFX,2003-06-10,37.82,38.2,37.65,37.96,276100.0,0.0,1.0,18.91,19.1,18.825,18.98,552200.0
121,NFX,2003-06-11,38.21,38.98,37.99,38.92,725100.0,0.0,1.0,19.105,19.49,18.995,19.46,1450200.0
122,NFX,2003-06-12,38.8,39.1,38.3,38.6,1193600.0,0.0,1.0,19.4,19.55,19.15,19.3,2387200.0
123,NFX,2003-06-13,38.6,38.6,37.92,38.17,758200.0,0.0,1.0,19.3,19.3,18.96,19.085,1516400.0
124,NFX,2003-06-16,38.39,38.39,37.8,38.1,398800.0,0.0,1.0,19.195,19.195,18.9,19.05,797600.0
125,NFX,2003-06-17,38.25,38.4,38.0,38.03,661400.0,0.0,1.0,19.125,19.2,19.0,19.015,1322800.0
126,NFX,2003-06-18,37.9,37.9,37.52,37.58,564100.0,0.0,1.0,18.95,18.95,18.76,18.79,1128200.0
127,NFX,2003-06-19,37.58,38.38,37.53,37.89,674800.0,0.0,1.0,18.79,19.19,18.765,18.945,1349600.0
128,NFX,2003-06-20,37.94,37.94,37.21,37.31,1092200.0,0.0,1.0,18.97,18.97,18.605,18.655,2184400.0
129,NFX,2003-06-23,37.26,37.45,37.2,37.33,479700.0,0.0,1.0,18.63,18.725,18.6,18.665,959400.0
130,NFX,2003-06-24,37.34,37.54,37.29,37.46,314600.0,0.0,1.0,18.67,18.77,18.645,18.73,629200.0
131,NFX,2003-06-25,37.55,38.15,37.55,37.94,435500.0,0.0,1.0,18.775,19.075,18.775,18.97,871000.0
132,NFX,2003-06-26,38.0,38.24,37.72,37.76,704400.0,0.0,1.0,19.0,19.12,18.86,18.88,1408800.0
133,NFX,2003-06-27,38.0,38.27,37.84,38.06,404600.0,0.0,1.0,19.0,19.135,18.92,19.03,809200.0
134,NFX,2003-06-30,37.95,38.24,37.52,37.55,669400.0,0.0,1.0,18.975,19.12,18.76,18.775,1338800.0
135,NFX,2003-07-01,37.73,37.78,36.82,37.17,393000.0,0.0,1.0,18.865,18.89,18.41,18.585,786000.0
136,NFX,2003-07-02,37.17,37.2,36.74,36.94,450600.0,0.0,1.0,18.585,18.6,18.37,18.47,901200.0
137,NFX,2003-07-03,36.94,37.34,36.65,37.07,258800.0,0.0,1.0,18.47,18.67,18.325,18.535,517600.0
138,NFX,2003-07-07,37.32,37.32,35.45,36.03,1024300.0,0.0,1.0,18.66,18.66,17.725,18.015,2048600.0
139,NFX,2003-07-08,35.93,36.48,35.69,35.9,475700.0,0.0,1.0,17.965,18.24,17.845,17.95,951400.0
140,NFX,2003-07-09,36.51,36.51,35.72,36.3,378500.0,0.0,1.0,18.255,18.255,17.86,18.15,757000.0
141,NFX,2003-07-10,36.15,36.15,35.23,35.25,465800.0,0.0,1.0,18.075,18.075,17.615,17.625,931600.0
142,NFX,2003-07-11,35.0,35.68,35.0,35.64,320800.0,0.0,1.0,17.5,17.84,17.5,17.82,641600.0
143,NFX,2003-07-14,35.64,35.72,34.8,34.86,282600.0,0.0,1.0,17.82,17.86,17.4,17.43,565200.0
144,NFX,2003-07-15,34.99,35.0,34.5,34.51,388700.0,0.0,1.0,17.495,17.5,17.25,17.255,777400.0
145,NFX,2003-07-16,34.51,34.61,33.64,33.94,656200.0,0.0,1.0,17.255,17.305,16.82,16.97,1312400.0
146,NFX,2003-07-17,34.05,35.12,33.87,35.07,523900.0,0.0,1.0,17.025,17.56,16.935,17.535,1047800.0
147,NFX,2003-07-18,35.07,35.6,35.0,35.44,327700.0,0.0,1.0,17.535,17.8,17.5,17.72,655400.0
148,NFX,2003-07-21,35.51,35.76,35.01,35.01,179800.0,0.0,1.0,17.755,17.88,17.505,17.505,359600.0
149,NFX,2003-07-22,35.02,35.09,34.33,34.51,271400.0,0.0,1.0,17.51,17.545,17.165,17.255,542800.0
150,NFX,2003-07-23,34.7,34.85,34.33,34.72,376200.0,0.0,1.0,17.35,17.425,17.165,17.36,752400.0
151,NFX,2003-07-24,35.2,35.69,34.67,34.89,535200.0,0.0,1.0,17.6,17.845,17.335,17.445,1070400.0
152,NFX,2003-07-25,35.14,35.6,34.6,35.53,468900.0,0.0,1.0,17.57,17.8,17.3,17.765,937800.0
153,NFX,2003-07-28,35.78,36.91,35.6,36.72,916400.0,0.0,1.0,17.89,18.455,17.8,18.36,1832800.0
154,NFX,2003-07-29,36.72,37.2,35.55,35.99,828600.0,0.0,1.0,18.36,18.6,17.775,17.995,1657200.0
155,NFX,2003-07-30,36.05,36.27,35.63,36.27,370600.0,0.0,1.0,18.025,18.135,17.815,18.135,741200.0
156,NFX,2003-07-31,36.37,36.51,35.97,36.13,392000.0,0.0,1.0,18.185,18.255,17.985,18.065,784000.0
157,NFX,2003-08-01,36.14,36.5,35.88,36.38,255400.0,0.0,1.0,18.07,18.25,17.94,18.19,510800.0
158,NFX,2003-08-04,36.45,36.48,36.19,36.26,519200.0,0.0,1.0,18.225,18.24,18.095,18.13,1038400.0
159,NFX,2003-08-05,36.26,36.95,36.0,36.27,412900.0,0.0,1.0,18.13,18.475,18.0,18.135,825800.0
160,NFX,2003-08-06,36.0,36.73,35.87,36.7,289900.0,0.0,1.0,18.0,18.365,17.935,18.35,579800.0
161,NFX,2003-08-07,36.8,37.58,36.69,37.57,336600.0,0.0,1.0,18.4,18.79,18.345,18.785,673200.0
162,NFX,2003-08-08,37.69,37.69,36.83,37.33,320400.0,0.0,1.0,18.845,18.845,18.415,18.665,640800.0
163,NFX,2003-08-11,37.23,38.48,37.23,38.26,687000.0,0.0,1.0,18.615,19.24,18.615,19.13,1374000.0
164,NFX,2003-08-12,38.51,39.01,38.28,39.01,480500.0,0.0,1.0,19.255,19.505,19.14,19.505,961000.0
165,NFX,2003-08-13,39.06,39.6,38.28,39.37,786000.0,0.0,1.0,19.53,19.8,19.14,19.685,1572000.0
166,NFX,2003-08-14,39.2,39.44,38.45,38.86,547500.0,0.0,1.0,19.6,19.72,19.225,19.43,1095000.0
167,NFX,2003-08-15,38.61,39.8,38.61,39.3,279900.0,0.0,1.0,19.305,19.9,19.305,19.65,559800.0
168,NFX,2003-08-18,39.3,39.7,39.25,39.51,375800.0,0.0,1.0,19.65,19.85,19.625,19.755,751600.0
169,NFX,2003-08-19,39.3,39.57,39.0,39.42,354900.0,0.0,1.0,19.65,19.785,19.5,19.71,709800.0
170,NFX,2003-08-20,39.2,39.98,39.15,39.8,280800.0,0.0,1.0,19.6,19.99,19.575,19.9,561600.0
171,NFX,2003-08-21,39.68,40.19,39.5,40.17,478500.0,0.0,1.0,19.84,20.095,19.75,20.085,957000.0
172,NFX,2003-08-22,40.1,40.33,39.5,39.79,198600.0,0.0,1.0,20.05,20.165,19.75,19.895,397200.0
173,NFX,2003-08-25,39.47,39.55,38.6,38.88,349500.0,0.0,1.0,19.735,19.775,19.3,19.44,699000.0
174,NFX,2003-08-26,38.89,38.98,38.39,38.79,200700.0,0.0,1.0,19.445,19.49,19.195,19.395,401400.0
175,NFX,2003-08-27,38.89,39.05,38.6,38.6,415500.0,0.0,1.0,19.445,19.525,19.3,19.3,831000.0
176,NFX,2003-08-28,38.8,39.44,38.66,39.36,572400.0,0.0,1.0,19.4,19.72,19.33,19.68,1144800.0
177,NFX,2003-08-29,39.16,39.3,38.55,39.29,178400.0,0.0,1.0,19.58,19.65,19.275,19.645,356800.0
178,NFX,2003-09-02,39.29,39.4,38.45,38.85,265400.0,0.0,1.0,19.645,19.7,19.225,19.425,530800.0
179,NFX,2003-09-03,38.8,39.0,38.46,38.7,403800.0,0.0,1.0,19.4,19.5,19.23,19.35,807600.0
