,Name,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split_Ratio,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
0,PBCT,2002-12-16,24.69,25.1,24.63,25.1,43196.0,0.0,1.0,2.839148391221,2.8862950433231,2.8322488811572,2.8862950433231,204101.1
1,PBCT,2002-12-17,24.92,25.4,24.81,25.18,37862.0,0.0,1.0,2.8655965131319,2.9207925936417,2.8529474113484,2.8954943900747,178897.95
2,PBCT,2002-12-18,24.97,25.15,24.73,24.82,18794.0,0.0,1.0,2.8713461048517,2.8920446350428,2.8437480645968,2.8540973296924,88801.65
3,PBCT,2002-12-19,24.84,25.18,24.7,24.99,90265.0,0.0,1.0,2.8563971663803,2.8954943900747,2.8402983095649,2.8736459415396,426502.125
4,PBCT,2002-12-20,25.13,25.46,24.99,25.37,73185.0,0.0,1.0,2.8897447983549,2.9276921037054,2.8736459415396,2.9173428386098,345799.125
5,PBCT,2002-12-23,25.2,25.48,25.2,25.48,51365.0,0.0,1.0,2.8977942267626,2.9299919403933,2.8977942267626,2.9299919403933,242699.625
6,PBCT,2002-12-24,25.4,25.56,25.2,25.37,22561.0,0.0,1.0,2.9207925936417,2.9391912871449,2.8977942267626,2.9173428386098,106600.725
7,PBCT,2002-12-26,25.52,25.73,25.15,25.55,36254.0,0.0,1.0,2.9345916137691,2.9587398989921,2.8920446350428,2.938041368801,171300.15
8,PBCT,2002-12-27,25.3,25.75,25.11,25.19,22265.0,0.0,1.0,2.9092934102021,2.96103973568,2.887444961667,2.8966443084186,105202.125
9,PBCT,2002-12-30,25.24,25.42,25.03,25.35,31450.0,0.0,1.0,2.9023939001384,2.9230924303296,2.8782456149154,2.9150430019219,148601.25
10,PBCT,2002-12-31,25.31,25.31,25.0,25.2,38646.0,0.0,1.0,2.9104433285461,2.9104433285461,2.8747958598835,2.8977942267626,182602.35
11,PBCT,2003-01-02,25.41,25.8,25.18,25.79,24571.0,0.0,1.0,2.9219425119856,2.9667893273998,2.8954943900747,2.9656394090558,116097.975
12,PBCT,2003-01-03,25.85,25.88,25.61,25.78,46667.0,0.0,1.0,2.9725389191196,2.9759886741514,2.9449408788647,2.9644894907119,220501.575
13,PBCT,2003-01-06,25.54,26.4,25.54,26.4,52000.0,0.0,1.0,2.936891450457,3.035784428037,2.936891450457,3.035784428037,245700.0
14,PBCT,2003-01-07,26.49,26.49,26.0,26.21,30265.0,0.0,1.0,3.0461336931326,3.0461336931326,2.9897876942789,3.0139359795019,143002.125
15,PBCT,2003-01-08,26.21,26.21,25.94,26.0,18561.0,0.0,1.0,3.0139359795019,3.0139359795019,2.9828881842151,2.9897876942789,87700.725
16,PBCT,2003-01-09,26.1,26.56,25.94,26.49,37058.0,0.0,1.0,3.0012868777184,3.0541831215403,2.9828881842151,3.0461336931326,175099.05
17,PBCT,2003-01-10,26.46,26.58,26.31,26.48,30836.0,0.0,1.0,3.0426839381007,3.0564829582282,3.0254351629414,3.0449837747886,145700.1
18,PBCT,2003-01-13,26.48,26.77,26.36,26.49,33587.0,0.0,1.0,3.0449837747886,3.0783314067633,3.0311847546612,3.0461336931326,158698.575
19,PBCT,2003-01-14,26.73,26.81,26.51,26.74,35238.0,0.0,1.0,3.0737317333875,3.0829310801391,3.0484335298205,3.0748816517314,166499.55
20,PBCT,2003-01-15,26.69,26.7,26.24,26.32,45376.0,0.0,1.0,3.0691320600117,3.0702819783556,3.0173857345337,3.0265850812854,214401.6
21,PBCT,2003-01-16,26.58,26.58,26.03,26.53,60825.0,0.0,1.0,3.0564829582282,3.0564829582282,2.9932374493107,3.0507333665084,287398.125
22,PBCT,2003-01-17,26.35,26.61,25.45,25.76,167852.0,0.0,1.0,3.0300348363172,3.05993271326,2.9265421853614,2.962189654024,793100.7
