,Name,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split_Ratio,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
0,VAR,2002-12-16,48.13,48.65,47.7,48.56,267600.0,0.0,1.0,24.065,24.325,23.85,24.28,535200.0
1,VAR,2002-12-17,48.55,48.55,48.16,48.29,228900.0,0.0,1.0,24.275,24.275,24.08,24.145,457800.0
2,VAR,2002-12-18,48.3,49.57,48.21,49.51,389400.0,0.0,1.0,24.15,24.785,24.105,24.755,778800.0
3,VAR,2002-12-19,49.51,51.32,49.51,50.06,935800.0,0.0,1.0,24.755,25.66,24.755,25.03,1871600.0
4,VAR,2002-12-20,50.25,50.6,49.7,50.38,644600.0,0.0,1.0,25.125,25.3,24.85,25.19,1289200.0
5,VAR,2002-12-23,50.0,50.03,49.3,49.64,520800.0,0.0,1.0,25.0,25.015,24.65,24.82,1041600.0
6,VAR,2002-12-24,49.64,49.75,49.15,49.19,254700.0,0.0,1.0,24.82,24.875,24.575,24.595,509400.0
7,VAR,2002-12-26,49.29,49.41,48.85,49.15,340500.0,0.0,1.0,24.645,24.705,24.425,24.575,681000.0
8,VAR,2002-12-27,49.1,49.8,48.98,49.13,227400.0,0.0,1.0,24.55,24.9,24.49,24.565,454800.0
9,VAR,2002-12-30,49.05,49.69,48.9,49.56,441300.0,0.0,1.0,24.525,24.845,24.45,24.78,882600.0
10,VAR,2002-12-31,49.55,50.0,49.25,49.6,421100.0,0.0,1.0,24.775,25.0,24.625,24.8,842200.0
11,VAR,2003-01-02,50.0,50.68,49.83,50.45,431400.0,0.0,1.0,25.0,25.34,24.915,25.225,862800.0
12,VAR,2003-01-03,50.2,50.92,50.16,50.43,350200.0,0.0,1.0,25.1,25.46,25.08,25.215,700400.0
13,VAR,2003-01-06,50.6,51.72,49.6,51.54,648200.0,0.0,1.0,25.3,25.86,24.8,25.77,1296400.0
14,VAR,2003-01-07,51.35,51.71,50.9,51.08,650100.0,0.0,1.0,25.675,25.855,25.45,25.54,1300200.0
15,VAR,2003-01-08,51.0,51.01,49.15,49.62,631400.0,0.0,1.0,25.5,25.505,24.575,24.81,1262800.0
16,VAR,2003-01-09,49.87,50.6,49.6,50.46,401700.0,0.0,1.0,24.935,25.3,24.8,25.23,803400.0
17,VAR,2003-01-10,50.45,51.4,50.18,51.25,421500.0,0.0,1.0,25.225,25.7,25.09,25.625,843000.0
18,VAR,2003-01-13,51.35,51.9,50.82,50.88,562000.0,0.0,1.0,25.675,25.95,25.41,25.44,1124000.0
19,VAR,2003-01-14,50.88,51.02,49.7,50.51,494400.0,0.0,1.0,25.44,25.51,24.85,25.255,988800.0
20,VAR,2003-01-15,50.76,50.83,49.88,50.02,291500.0,0.0,1.0,25.38,25.415,24.94,25.01,583000.0
21,VAR,2003-01-16,50.03,50.24,49.85,50.15,148100.0,0.0,1.0,25.015,25.12,24.925,25.075,296200.0
22,VAR,2003-01-17,49.9,50.26,49.25,49.74,222100.0,0.0,1.0,24.95,25.13,24.625,24.87,444200.0
23,VAR,2003-01-21,49.74,49.86,49.05,49.36,279200.0,0.0,1.0,24.87,24.93,24.525,24.68,558400.0
24,VAR,2003-01-22,49.11,49.25,48.34,48.48,357400.0,0.0,1.0,24.555,24.625,24.17,24.24,714800.0
25,VAR,2003-01-23,48.5,49.9,48.42,49.87,281000.0,0.0,1.0,24.25,24.95,24.21,24.935,562000.0
26,VAR,2003-01-24,51.0,52.25,50.83,51.1,1735300.0,0.0,1.0,25.5,26.125,25.415,25.55,3470600.0
27,VAR,2003-01-27,51.0,51.1,50.23,50.33,567800.0,0.0,1.0,25.5,25.55,25.115,25.165,1135600.0
28,VAR,2003-01-28,50.78,51.45,50.45,51.3,673900.0,0.0,1.0,25.39,25.725,25.225,25.65,1347800.0
29,VAR,2003-01-29,50.78,51.45,50.45,51.3,450200.0,0.0,1.0,25.39,25.725,25.225,25.65,900400.0
30,VAR,2003-01-30,52.1,52.61,51.66,51.89,586700.0,0.0,1.0,26.05,26.305,25.83,25.945,1173400.0
31,VAR,2003-01-31,51.75,52.7,51.75,52.26,383700.0,0.0,1.0,25.875,26.35,25.875,26.13,767400.0
32,VAR,2003-02-03,52.32,52.9,51.81,52.31,353800.0,0.0,1.0,26.16,26.45,25.905,26.155,707600.0
33,VAR,2003-02-04,52.2,52.2,51.4,51.75,236200.0,0.0,1.0,26.1,26.1,25.7,25.875,472400.0
34,VAR,2003-02-05,51.85,52.48,51.56,51.56,246700.0,0.0,1.0,25.925,26.24,25.78,25.78,493400.0
35,VAR,2003-02-06,51.5,52.28,50.98,51.78,353600.0,0.0,1.0,25.75,26.14,25.49,25.89,707200.0
36,VAR,2003-02-07,51.78,52.3,51.4,51.6,303100.0,0.0,1.0,25.89,26.15,25.7,25.8,606200.0
37,VAR,2003-02-10,51.85,52.12,51.1,52.11,469000.0,0.0,1.0,25.925,26.06,25.55,26.055,938000.0
38,VAR,2003-02-11,52.18,52.95,51.22,51.45,387100.0,0.0,1.0,26.09,26.475,25.61,25.725,774200.0
39,VAR,2003-02-12,51.36,51.8,50.5,50.65,335600.0,0.0,1.0,25.68,25.9,25.25,25.325,671200.0
40,VAR,2003-02-13,50.64,50.76,49.71,50.29,439400.0,0.0,1.0,25.32,25.38,24.855,25.145,878800.0
41,VAR,2003-02-14,50.28,50.41,49.77,50.03,561000.0,0.0,1.0,25.14,25.205,24.885,25.015,1122000.0
42,VAR,2003-02-18,50.2,51.84,50.19,51.61,682300.0,0.0,1.0,25.1,25.92,25.095,25.805,1364600.0
43,VAR,2003-02-19,51.61,51.61,50.77,50.9,420000.0,0.0,1.0,25.805,25.805,25.385,25.45,840000.0
44,VAR,2003-02-20,50.95,51.76,50.93,51.44,360100.0,0.0,1.0,25.475,25.88,25.465,25.72,720200.0
45,VAR,2003-02-21,51.25,51.68,50.95,51.64,476600.0,0.0,1.0,25.625,25.84,25.475,25.82,953200.0
46,VAR,2003-02-24,51.4,51.42,50.14,50.14,335700.0,0.0,1.0,25.7,25.71,25.07,25.07,671400.0
47,VAR,2003-02-25,50.04,51.27,49.1,51.26,480100.0,0.0,1.0,25.02,25.635,24.55,25.63,960200.0
48,VAR,2003-02-26,51.3,51.85,50.1,50.47,405900.0,0.0,1.0,25.65,25.925,25.05,25.235,811800.0
49,VAR,2003-02-27,50.75,50.75,50.1,50.31,526600.0,0.0,1.0,25.375,25.375,25.05,25.155,1053200.0
50,VAR,2003-02-28,50.3,50.87,50.02,50.55,690100.0,0.0,1.0,25.15,25.435,25.01,25.275,1380200.0
51,VAR,2003-03-03,50.8,50.9,49.9,50.0,539100.0,0.0,1.0,25.4,25.45,24.95,25.0,1078200.0
52,VAR,2003-03-04,50.01,50.09,49.26,49.26,640700.0,0.0,1.0,25.005,25.045,24.63,24.63,1281400.0
53,VAR,2003-03-05,49.01,50.75,49.01,50.01,543700.0,0.0,1.0,24.505,25.375,24.505,25.005,1087400.0
54,VAR,2003-03-06,49.88,50.82,49.65,50.6,786100.0,0.0,1.0,24.94,25.41,24.825,25.3,1572200.0
55,VAR,2003-03-07,50.25,51.23,50.1,50.76,333500.0,0.0,1.0,25.125,25.615,25.05,25.38,667000.0
