Date,ATR_1,Copp_1,EMA_1,MA_1,MFI_1,OBV_1,PP,R1,R2,R3,S1,S2,S3,ROC_1,SO%d_1,SO%k,Trix_1
2006-01-26,0.0,0.0,44.0,44.0,0.0,0.0,43.93,48.35,52.70000000000001,57.12000000000001,39.58,35.16,30.809999999999995,0.0,0.5119726339794756,0.5119726339794756,0.0
2006-01-27,3.1499999999999986,0.0,42.2,42.2,0.0,-1150800.0,42.95000000000001,44.15000000000002,46.10000000000001,47.30000000000002,41.00000000000002,39.80000000000001,37.85000000000002,0.0,0.14285714285714382,0.14285714285714382,-0.04090909090909085
2006-01-30,4.259999999999998,0.0,44.8,44.8,1.0,735800.0,43.85333333333333,46.45666666666666,48.11333333333333,50.71666666666666,42.196666666666665,39.59333333333333,37.93666666666667,0.0,0.833333333333333,0.833333333333333,0.0616113744075828
2006-01-31,4.5,0.0,47.52,47.52,1.0,1111200.0,47.40000000000001,49.42000000000001,51.32,53.34,45.50000000000002,43.48000000000001,41.580000000000034,0.0,0.5459183673469397,0.5459183673469397,0.06071428571428585
2006-02-01,3.990000000000002,0.0,46.56,46.56,0.0,-606700.0,47.01666666666667,48.78333333333335,51.00666666666668,52.77333333333335,44.79333333333334,43.02666666666667,40.80333333333334,0.0,0.32832080200501296,0.32832080200501296,-0.020202020202020214
2006-02-02,3.649999999999999,0.0,44.75,44.75,0.0,-401500.0,45.63999999999999,47.01999999999999,49.28999999999999,50.66999999999999,43.36999999999999,41.99,39.71999999999999,0.0,0.13424657534246634,0.13424657534246634,-0.03887457044673544
2006-02-03,2.3100000000000023,0.0,46.55,46.55,1.0,245300.0,45.78666666666667,47.32333333333334,48.09666666666666,49.63333333333334,45.01333333333334,43.47666666666667,42.70333333333333,0.0,0.9956709956709936,0.9956709956709936,0.040223463687150775
2006-02-06,2.0,0.0,47.71,47.71,1.0,349800.0,47.23666666666667,48.473333333333336,49.23666666666668,50.473333333333336,46.473333333333336,45.23666666666667,44.473333333333336,0.0,0.8550000000000004,0.8550000000000004,0.024919441460794924
2006-02-07,2.5,0.0,46.28,46.28,0.0,-267200.0,46.42666666666667,47.60333333333334,48.92666666666668,50.10333333333334,45.10333333333334,43.92666666666667,42.603333333333346,0.0,0.4120000000000005,0.4120000000000005,-0.029972752043596725
2006-02-08,1.5600000000000025,0.0,45.74,45.74,0.0,-174400.0,45.79333333333333,46.54666666666666,47.35333333333333,48.10666666666666,44.98666666666666,44.23333333333333,43.42666666666666,0.0,0.4487179487179499,0.4487179487179499,-0.011668107173725132
2006-02-09,2.9200000000000017,0.0,44.05,44.04999999999999,0.0,-220300.0,44.37666666666666,45.67333333333333,47.29666666666667,48.59333333333333,42.75333333333333,41.456666666666656,39.83333333333333,0.0,0.33219178082191725,0.33219178082191725,-0.03694796676869271
2006-02-10,2.549999999999997,0.0,42.31,42.30999999999999,0.0,-375500.0,42.356666666666655,43.21333333333333,44.11666666666666,44.97333333333332,41.45333333333333,40.59666666666666,39.69333333333333,0.0,0.4602272727272746,0.4602272727272746,-0.03950056753688978
2006-02-13,1.5499999999999972,0.0,41.48,41.47999999999999,0.0,-199100.0,41.67666666666667,42.353333333333346,43.22666666666666,43.90333333333334,40.80333333333334,40.12666666666667,39.25333333333335,0.0,0.3096774193548373,0.3096774193548373,-0.01961711179390228
