Date,ATR_1,Copp_1,EMA_1,MA_1,MFI_1,OBV_1,PP,R1,R2,R3,S1,S2,S3,ROC_1,SO%d_1,Trix_1
2007-06-14,0.0,0.0,28.75,28.75,0.0,0.0,29.08333333333333,30.166666666666664,31.58333333333333,32.666666666666664,27.666666666666664,26.58333333333333,25.166666666666664,0.0,0.3,0.0
2007-06-15,1.0500000000000007,0.0,29.08,29.08,1.0,790100.0,29.25333333333333,29.62666666666666,30.17333333333333,30.546666666666663,28.70666666666666,28.33333333333333,27.78666666666665,0.0,0.2173913043478249,0.011478260869565158
2007-06-18,1.120000000000001,0.0,29.93,29.93,1.0,1591000.0,29.81,30.320000000000004,30.710000000000004,31.22,29.420000000000005,28.910000000000004,28.52000000000001,0.0,0.7,0.02922971114167818
2007-06-19,0.6999999999999993,0.0,29.7,29.7,1.0,-1585100.0,29.86666666666667,30.13333333333334,30.56666666666667,30.83333333333334,29.43333333333334,29.16666666666667,28.73333333333334,0.0,0.14285714285713996,-0.007684597393919159
2007-06-20,0.5300000000000011,0.0,29.81,29.80999999999999,0.0,855900.0,29.82666666666667,30.083333333333336,30.35666666666667,30.61333333333333,29.55333333333333,29.29666666666667,29.02333333333333,0.0,0.4528301886792414,0.003703703703703685
2007-06-21,2.34,0.0,31.21,31.21,1.0,842700.0,30.923333333333336,32.23666666666667,33.26333333333333,34.57666666666667,29.89666666666667,28.583333333333336,27.55666666666667,0.0,0.6837606837606844,0.046964106004696485
2007-06-22,1.1700000000000017,0.0,31.7,31.7,1.0,1490700.0,31.62333333333333,32.24666666666667,32.79333333333334,33.41666666666667,31.07666666666667,30.45333333333333,29.906666666666666,0.0,0.5982905982905968,0.015700096123037438
2007-06-25,0.9899999999999984,0.0,31.3,31.3,0.0,-490000.0,31.43666666666667,31.86333333333333,32.42666666666666,32.85333333333333,30.87333333333333,30.44666666666667,29.883333333333336,0.0,0.2929292929292925,-0.012618296529968407
2007-06-26,1.3999999999999986,0.0,30.41,30.41,0.0,-853900.0,30.77,31.29,32.17,32.69,29.89,29.37,28.49,0.0,0.1142857142857145,-0.028434504792332286
2007-06-27,1.2300000000000004,0.0,29.58,29.579999999999995,0.0,-1127300.0,29.98333333333333,30.39666666666667,31.21333333333333,31.62666666666667,29.16666666666667,28.75333333333333,27.93666666666667,0.0,0.008130081300811387,-0.02729365340348576
2007-06-28,0.7399999999999984,0.0,29.5,29.5,0.0,-488900.0,29.52,29.88,30.26,30.62,29.14,28.78,28.4,0.0,0.4594594594594602,-0.0027045300878971697
2007-06-29,2.370000000000001,0.0,28.5,28.5,0.0,-3085200.0,28.91,29.89,31.28,32.260000000000005,27.52,26.54,25.15,0.0,0.2405063291139241,-0.03389830508474576
2007-07-02,1.9499999999999995,0.0,27.5,27.5,0.0,-10999000.0,27.95,28.7,29.899999999999995,30.65,26.75,26.0,24.8,0.0,0.15384615384615427,-0.03508771929824561
2007-07-03,1.3500000000000014,0.0,26.67,26.67,0.0,-8600100.0,26.77333333333333,27.39666666666666,28.12333333333333,28.746666666666666,26.04666666666666,25.42333333333333,24.696666666666665,0.0,0.3851851851851871,-0.03018181818181812
2007-07-05,1.1800000000000033,0.0,25.93,25.93,0.0,-8422000.0,26.19666666666667,26.65333333333334,27.37666666666668,27.833333333333343,25.473333333333336,25.016666666666666,24.29333333333333,0.0,0.161016949152543,-0.02774653168353964
2007-07-06,0.7199999999999989,0.0,25.64,25.64,0.0,-7211800.0,25.570000000000004,25.93000000000001,26.22000000000001,26.580000000000005,25.28000000000001,24.920000000000005,24.63000000000001,0.0,0.6615384615384625,-0.011183956806787472
